nome_curso,plataforma,categoria,linguagem,duracao_horas,preco,avaliacao_media,num_alunos,certificado,instrutor_experiente,sucesso
Streaming com TypeScript,Alura,Engenharia de Dados,TypeScript,28,246.11,4.2,1338,Sim,Não,Médio
Apps com Kubernetes,Pluralsight,Mobile,Kubernetes,23,134.99,4.55,551,Sim,Sim,Alto
Machine Learning com GCP,Coursera,IA/ML,GCP,46,271.06,4.89,2261,Sim,Não,Alto
Blue Team com Go,Alura,Segurança,Go,27,233.16,4.46,1049,Sim,Sim,Alto
Full-Stack com Angular,Coursera,Desenvolvimento Web,Angular,22,232.58,4.69,1984,Sim,Sim,Alto
Infra como Código na SIEM,Udemy,Cloud,SIEM,28,166.6,4.49,2187,Sim,Sim,Alto
Dashboards com Docker,Udemy,Dados,Docker,17,134.45,4.51,2601,Sim,Não,Alto
Front-end com Hadoop,DIO,Desenvolvimento Web,Hadoop,25,105.18,4.05,657,Sim,Não,Médio
Streaming com GCP,Udemy,Engenharia de Dados,GCP,35,236.56,4.28,2344,Sim,Sim,Alto
OWASP com Next.js,Udemy,Segurança,Next.js,26,180.8,4.22,2378,Sim,Sim,Alto
Microservices com Pentest,Udemy,Arquitetura de Software,Pentest,28,167.14,4.53,1717,Sim,Sim,Alto
Orquestração com Flask,DataCamp,Engenharia de Dados,Flask,33,244.95,4.71,2012,Sim,Sim,Alto
Testes Automatizados com SQL,DIO,QA/Testes,SQL,20,100.85,4.32,1419,Sim,Sim,Alto
Testes de Carga com Spring,Udemy,QA/Testes,Spring,16,142.39,4.35,1824,Sim,Não,Alto
Pentest com GCP,Coursera,Segurança,GCP,33,281.42,4.42,2831,Sim,Não,Médio
Front-end com Angular,Udemy,Desenvolvimento Web,Angular,18,165.76,4.42,1587,Sim,Sim,Alto
Contêineres com Hadoop,Udemy,DevOps,Hadoop,32,167.54,4.65,2027,Sim,Não,Alto
Mobile com Kotlin,Udemy,Mobile,Kotlin,24,149.52,4.11,1245,Sim,Sim,Alto
Otimização em SQL,DIO,Banco de Dados,SQL,21,68.63,4.19,352,Sim,Sim,Alto
MLOps com TensorFlow,Coursera,IA/ML,TensorFlow,37,301.38,4.44,2844,Sim,Sim,Alto
Dominando IAM,DIO,Programação,IAM,21,87.75,4.11,1311,Sim,Sim,Alto
Testes de Carga com SQL,Alura,QA/Testes,SQL,14,154.77,4.58,1200,Sim,Sim,Alto
ETL com OWASP,Alura,Dados,OWASP,30,226.45,4.8,1726,Sim,Sim,Alto
ETL com Airflow,DIO,Dados,Airflow,25,78.02,4.42,1094,Não,Sim,Alto
Scalability com Next.js,Alura,Arquitetura de Software,Next.js,24,277.19,4.57,1192,Sim,Sim,Alto
Do Zero em Spark,DIO,Mobile,Spark,25,81.93,4.06,268,Sim,Não,Médio
Contêineres com NumPy,Origamid,DevOps,NumPy,23,208.54,4.33,158,Sim,Sim,Médio
Microservices com Pentest,Udemy,Arquitetura de Software,Pentest,30,186.37,4.47,2221,Sim,Não,Médio
Administração em Azure,Udemy,Banco de Dados,Azure,10,175.6,4.52,2315,Sim,Sim,Alto
Data Viz com Pandas,Coursera,Dados,Pandas,24,213.97,4.61,1809,Sim,Sim,Alto
Otimização em GCP,Udemy,Banco de Dados,GCP,18,144.0,4.79,2450,Sim,Sim,Alto
QA Ágil com Jenkins,Coursera,QA/Testes,Jenkins,26,148.24,4.06,1783,Sim,Sim,Alto
Apps com JavaScript,Udemy,Mobile,JavaScript,20,154.62,4.48,1175,Não,Sim,Alto
Scalability com Go,Origamid,Arquitetura de Software,Go,21,210.71,4.77,332,Sim,Não,Médio
QA Ágil com Docker,Coursera,QA/Testes,Docker,8,147.05,4.73,1778,Não,Sim,Alto
QA Ágil com TensorFlow,Udemy,QA/Testes,TensorFlow,16,160.53,4.8,1128,Sim,Sim,Alto
Otimização em Java,Udemy,Banco de Dados,Java,20,188.38,4.46,2624,Não,Sim,Alto
Pipelines de Dados com Docker,Alura,Engenharia de Dados,Docker,31,201.06,4.77,1511,Sim,Sim,Alto
